hour,ride_count,anomaly
2019-01-17 13:00:00,14567,1
2019-01-17 14:00:00,15901,1
2019-01-17 15:00:00,16278,1
2019-01-17 16:00:00,14609,1
2019-01-17 17:00:00,16887,1
2019-01-17 18:00:00,19329,-1
2019-01-17 19:00:00,18012,1
2019-01-17 20:00:00,16954,1
2019-01-17 21:00:00,17182,1
2019-01-17 22:00:00,15241,1
2019-01-17 23:00:00,11143,1
2019-01-18 00:00:00,7440,1
2019-01-18 01:00:00,4331,1
2019-01-18 02:00:00,2742,1
2019-01-18 03:00:00,1884,1
2019-01-18 04:00:00,1859,1
2019-01-18 05:00:00,2910,1
2019-01-18 06:00:00,7094,1
2019-01-18 07:00:00,12326,1
2019-01-18 08:00:00,14938,1
2019-01-18 09:00:00,12905,1
2019-01-18 10:00:00,11871,1
2019-01-18 11:00:00,12078,1
2019-01-18 12:00:00,13126,1
2019-01-18 13:00:00,13195,1
2019-01-18 14:00:00,14956,1
2019-01-18 15:00:00,14918,1
2019-01-18 16:00:00,14002,1
2019-01-18 17:00:00,15908,1
2019-01-18 18:00:00,17620,1
2019-01-18 19:00:00,16566,1
2019-01-18 20:00:00,14063,1
2019-01-18 21:00:00,13537,1
2019-01-18 22:00:00,14054,1
2019-01-18 23:00:00,12525,1
2019-01-19 00:00:00,10275,1
2019-01-19 01:00:00,8543,1
2019-01-19 02:00:00,6959,1
2019-01-19 03:00:00,4952,1
2019-01-19 04:00:00,3414,1
2019-01-19 05:00:00,1875,1
2019-01-19 06:00:00,2985,1
2019-01-19 07:00:00,4056,1
2019-01-19 08:00:00,6306,1
2019-01-19 09:00:00,8804,1
2019-01-19 10:00:00,10395,1
2019-01-19 11:00:00,11191,1
2019-01-19 12:00:00,12648,1
2019-01-19 13:00:00,12983,1
2019-01-19 14:00:00,12960,1
2019-01-19 15:00:00,13539,1
2019-01-19 16:00:00,13374,1
2019-01-19 17:00:00,13660,1
2019-01-19 18:00:00,14247,1
2019-01-19 19:00:00,13686,1
2019-01-19 20:00:00,12789,1
2019-01-19 21:00:00,12685,1
2019-01-19 22:00:00,12371,1
2019-01-19 23:00:00,11668,1
2019-01-20 00:00:00,10402,1
2019-01-20 01:00:00,8375,1
2019-01-20 02:00:00,6743,1
2019-01-20 03:00:00,4660,1
2019-01-20 04:00:00,2838,1
2019-01-20 05:00:00,1376,1
2019-01-20 06:00:00,1734,1
2019-01-20 07:00:00,2996,1
2019-01-20 08:00:00,4278,1
2019-01-20 09:00:00,6127,1
2019-01-20 10:00:00,8351,1
2019-01-20 11:00:00,10181,1
2019-01-20 12:00:00,10805,1
2019-01-20 13:00:00,11639,1
2019-01-20 14:00:00,12750,1
2019-01-20 15:00:00,12787,1
2019-01-20 16:00:00,12674,1
2019-01-20 17:00:00,12971,1
2019-01-20 18:00:00,14024,1
2019-01-20 19:00:00,11342,1
2019-01-20 20:00:00,9739,1
2019-01-20 21:00:00,8801,1
2019-01-20 22:00:00,10784,1
2019-01-20 23:00:00,6737,1
2019-01-21 00:00:00,5641,1
2019-01-21 01:00:00,3095,1
2019-01-21 02:00:00,2096,1
2019-01-21 03:00:00,1495,1
2019-01-21 04:00:00,1480,1
2019-01-21 05:00:00,1705,1
2019-01-21 06:00:00,3641,1
2019-01-21 07:00:00,4817,1
2019-01-21 08:00:00,7529,1
2019-01-21 09:00:00,9185,1
2019-01-21 10:00:00,10116,1
2019-01-21 11:00:00,11341,1
2019-01-21 12:00:00,12089,1
2019-01-21 13:00:00,12200,1
2019-01-21 14:00:00,12644,1
2019-01-21 15:00:00,13591,1
2019-01-21 16:00:00,12702,1
2019-01-21 17:00:00,13239,1
2019-01-21 18:00:00,13507,1
2019-01-21 19:00:00,11162,1
2019-01-21 20:00:00,9305,1
2019-01-21 21:00:00,8570,1
2019-01-21 22:00:00,6713,1
2019-01-21 23:00:00,4963,1
2019-01-22 00:00:00,3213,1
2019-01-22 01:00:00,1947,1
2019-01-22 02:00:00,1017,1
2019-01-22 03:00:00,662,-1
2019-01-22 04:00:00,1058,1
2019-01-22 05:00:00,2745,1
2019-01-22 06:00:00,7878,1
2019-01-22 07:00:00,13922,1
2019-01-22 08:00:00,16940,1
2019-01-22 09:00:00,14951,1
2019-01-22 10:00:00,13001,1
2019-01-22 11:00:00,12616,1
2019-01-22 12:00:00,12663,1
2019-01-22 13:00:00,12840,1
2019-01-22 14:00:00,13962,1
2019-01-22 15:00:00,14886,1
2019-01-22 16:00:00,13878,1
2019-01-22 17:00:00,15684,1
2019-01-22 18:00:00,18028,1
2019-01-22 19:00:00,16093,1
2019-01-22 20:00:00,14327,1
2019-01-22 21:00:00,14347,1
2019-01-22 22:00:00,11189,1
2019-01-22 23:00:00,7331,1
2019-01-23 00:00:00,4267,1
2019-01-23 01:00:00,2298,1
